Director Score ,Director Experiecne,Actor 1 Experience ,Actor 1 Score ,Actor 2 Experience ,Actor 2 Score,Actor 3 Experience ,Actor 3 score,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,budget,Class
4031929.5,2,2,25935656.5,2,19014876.5,1,5430822,6,206,192,38,493,7000000,8
25698854.67,3,2,22252225,2,19014876.5,2,59849465.5,138,324,192,184,1013,65000000,5
27861889.5,2,8,33466025.13,1,47553512,1,47553512,77,490,298,159,1367,50000000,4
3382220.5,2,9,43064507.11,1,13854000,2,30870971.5,121,11000,3000,384,14677,20000000,7
121756789.3,4,29,90807581.55,2,101941777,4,81254376.5,189,3000,2000,597,7014,40000000,1
46142843.2,5,12,46786071.92,2,101941777,1,65269010,98,17000,2000,920,21380,12000000,3
25159614.75,4,31,51583335.03,1,20627372,1,20627372,7,3000,240,95,3451,16000000,6
47977634.31,13,1,11529368,1,11529368,1,11529368,293,0,0,0,0,65000,7
4628904,4,1,31937,1,31937,1,31937,6,396,326,325,2310,500000,9
53270582.4,5,1,59696176,1,41510421,1,59696176,25,329,134,55,775,22000000,4
123286001.2,5,1,24268828,5,50887235,2,15056878.5,32,1000,626,453,3436,28000000,6
8786715,1,6,138646275.7,5,50887235,1,9652000,0,1000,627,500,3096,40000000,8
73640067,2,3,41845301.33,5,50887235,5,4946615.2,25,833,626,611,4551,12000000,7
44134898,1,24,48610758.46,5,50887235,1,47852604,9,826,626,107,1825,20000000,4
124562239.1,13,9,70579315.78,5,50887235,4,49466860.75,0,11000,627,568,12890,100000000,1
142232953.3,8,2,197192552,2,128198369,1,217387997,255,18000,953,759,20453,165000000,1
35177212.5,4,29,61087552.07,2,128198369,1,39008741,42,2000,953,917,6862,25000000,5
47027413,4,2,28469974,1,56536016,2,70399926.5,26,2000,509,300,3344,4900000,4
399879,1,1,925402,1,925402,1,925402,373,36,35,27,100,180000,9
89730465.75,4,6,89419943.33,1,102413606,1,102413606,47,988,149,129,1783,34000000,1
34017854,1,4,40968672.75,2,50815288,2,50815288,79,13000,903,414,14747,50000000,4
21652967.29,7,1,50815288,2,50815288,2,50815288,79,13000,903,414,14747,50000000,4
178172594.3,4,4,94345850.75,1,179870271,2,112757737.5,14000,11000,429,237,11898,28000000,1
45802315,1,1,30400000,1,30400000,1,30400000,0,405,194,122,914,12000000,5
24252967.22,9,1,4881867,4,67338539.5,3,7744598.667,26,1000,1000,611,3767,9000000,8
71168710.2,5,1,118153533,4,67338539.5,2,88510613.5,8,8000,1000,970,13232,61000000,1
59102062,7,1,86049418,4,67338539.5,1,86049418,70,2000,1000,625,5032,17000000,2
41343224.1,10,2,60298949,4,67338539.5,3,41426864,5,2000,1000,966,6930,30000000,3
28074500,2,28,68430484.25,2,7481904.5,1,14946229,65,788,423,345,2104,25000000,7
14616,1,6,18699776.67,2,7481904.5,1,17580,8,529,423,399,2749,1500000,9
16284360,1,5,39058132,2,8104899,1,16204793,45,24000,396,271,24805,16000000,7
106199815.1,10,2,68660856,1,119938730,5,54639859,55,789,424,360,2085,18000000,1
7826,1,26,94986586.58,2,2859817,1,10018,0,262,163,61,509,1000000,9
3093491,1,1,5709616,2,2859817,1,5709616,12,201,163,67,546,1800000,8
13350177,1,1,6167817,1,6167817,1,6167817,0,226,52,46,405,47000000,8
54967359,1,7,40896276.57,3,80680331.67,1,118311368,176,11000,702,282,12406,110000000,1
104837830.8,13,6,41774173.83,3,80680331.67,2,57226625,52,12000,702,539,13905,55000000,3
44089982.92,12,2,33859095,3,80680331.67,4,23069008.25,40,2000,702,617,4045,31000000,4
11758590.4,5,9,24365824.11,1,25117498,1,25117498,81,327,253,135,960,40000000,6
38231814,3,1,80276912,1,80276912,1,80276912,12,642,171,149,1026,35000000,2
54632879.25,4,6,41774173.83,1,66466372,1,66466372,160,164000,137000,748,303717,40000000,3
129454717.5,16,5,114922384,2,232442298,3,100933692.7,464,15000,10000,825,28631,200000000,1
129454717.5,16,5,114922384,2,232442298,1,262030663,464,15000,10000,963,28489,230000000,1
13396270,2,1,16017403,2,16017403,6,39577848.33,596,1000,835,697,3300,5000000,7
78017449.25,8,5,57457235.8,2,16017403,6,39577848.33,596,1000,835,697,3300,5000000,7
72543215.79,19,1,36696761,1,36696761,1,36696761,6,759,563,345,2197,23000000,5
3591165.5,2,20,87187660.05,1,17508670,2,8806463.5,14,386,99,78,646,15000000,7
53787688.5,2,10,51691219.4,1,6471394,1,6471394,5,11000,387,338,11972,50000000,8
3591165.5,2,31,51583335.03,1,11041228,1,11041228,611,755,483,4,1244,100000000,7
108076580,2,1,163214286,1,163214286,1,163214286,338,354,209,195,1495,8200000,1
1400000,1,1,3100650,1,3100650,1,3100650,12,159,102,102,417,14000000,8
49994804,1,1,34293771,9,81525724,3,29298632.33,0,12000,11000,591,24598,155000000,5
106199815.1,10,1,65653758,9,81525724,4,117595626.5,101,18000,11000,3000,33154,95000000,3
33770028,7,5,33219812.8,9,81525724,3,26668448,176,18000,11000,308,29748,48000000,3
58203779.25,8,12,19671363.17,9,81525724,1,531009,11000,11000,11000,188,22319,10000000,9
65721264.17,6,3,67400556.67,9,81525724,7,80808806.57,57,12000,11000,3000,29069,90000000,1
43047551.67,3,2,60742872.5,9,81525724,2,67631157,207,40000,11000,3000,55175,100000000,3
29623015.67,3,17,62198271.18,9,81525724,2,67631157,207,40000,11000,3000,55175,100000000,3
48848990.33,3,36,91783206.47,9,81525724,1,186336103,218,11000,11000,322,22722,120000000,1
119948293.3,3,26,94986586.58,9,81525724,2,194673430,5,24000,11000,967,36095,145000000,1
25251115.17,6,9,48500422.89,1,33357476,5,23163873,14,1000,1000,635,4194,35000000,5
21527877,3,1,32333860,2,21940201.5,1,32333860,7,186,147,36,407,7500000,5
6719300,1,1,11546543,2,21940201.5,1,11546543,32,483,147,75,768,2000000,7
15542428.5,2,16,34302750.75,3,34186626.33,2,120666531,0,13000,1000,639,15757,50000000,6
57163112.5,16,21,125805463.8,3,34186626.33,2,36738421.5,16000,16000,1000,581,18635,50000000,6
15542428.5,2,16,34302750.75,3,34186626.33,5,38104169.8,0,13000,1000,327,14609,21000000,4
45127693.5,2,4,55268902.75,1,49392095,3,43069293.33,52,8000,735,526,10552,100000000,4
24324538.75,4,4,40968672.75,3,53253476,2,108990054,453,15000,10000,953,27788,7000000,4
36970759,4,19,105641206.8,3,53253476,1,34963967,129,23000,10000,3000,39807,8000000,5
62095597.44,9,22,56921748.91,3,53253476,1,83813460,655,24000,10000,940,35209,25000000,2
6517198,1,1,7757130,1,7757130,1,7757130,454,65,49,39,173,15000000,8
58936,1,1,94596,1,94596,1,94596,62,89,13,6,115,1000000,9
53270582.4,5,2,44167305,1,55350897,1,55350897,25,49000,448,129,49631,85000000,4
144789222.1,7,1,84263837,1,84263837,2,70399926.5,40,1000,421,300,2323,6500000,2
104837830.8,13,1,116735231,2,59210830,1,116735231,78,984,489,298,2129,70000000,1
703002,1,3,22522702,2,59210830,2,12264738,34,503,489,465,3100,16000000,8
32553210,1,1,60470220,1,60470220,1,60470220,71,154,131,55,428,50000000,3
317040,1,12,41981311,1,191309,2,9019815.5,7,308,249,142,1008,150000,9
12514138,1,2,9765653.5,3,13662599,5,75108519,0,941,754,745,3099,12000000,9
43935476.25,4,3,24163771,3,13662599,2,90174624,7,931,754,692,2912,35000000,4
243347,1,1,511920,3,13662599,1,511920,0,795,754,379,2449,40000000,9
1122104,2,2,13391408,5,84333306,5,86605636.2,41,16000,11000,1000,29177,10000000,8
29907537.33,3,2,16187212,5,84333306,3,24099021,380,15000,11000,2000,31278,30000000,5
271700394.2,5,19,137619039.4,5,84333306,2,94665295.5,22000,11000,11000,6000,31488,165000000,1
113139457.7,7,5,60400192.4,5,84333306,1,124732962,64,11000,11000,505,23923,35000000,1
164569324,25,1,75274748,5,84333306,5,76639775.6,278,22000,11000,808,36010,35000000,3
43396149.8,5,4,28156699.75,4,32021804.5,2,104855736.5,425,11000,643,397,12729,70000000,3
2926565,1,6,38128393.83,4,32021804.5,3,7718436.333,143,829,681,430,2295,20000000,8
78692452.24,17,4,34485062.5,4,32021804.5,4,25345995.5,81,3000,643,612,5062,90000000,4
5000000,1,1,1277257,4,32021804.5,3,17357261.33,132,778,695,584,2400,1000000,8
45406442.38,13,8,30814181.88,1,56876365,1,56876365,130,29000,130,80,29265,35000000,4
121621863.1,9,29,61087552.07,1,83348920,3,115921019.7,35,19000,411,179,19963,132000000,2
33129197.5,2,9,57047206,1,15155772,1,15155772,0,712,341,197,1673,18000000,7
425938,2,1,49413,1,49413,2,4395837,143,155,96,76,398,35000000,9
36964195.2,5,3,59656884.33,1,1420578,5,41655443,35,548,495,482,2389,1900000,8
98010408.57,7,28,64470357.79,6,54442033.5,2,47914987.5,420,22000,12000,876,35867,78000000,2
59696176,1,1,53215979,6,54442033.5,1,53215979,23,13000,12000,110,25220,84000000,4
66857365,8,4,20957656.75,6,54442033.5,5,80567945.2,0,18000,12000,10000,42220,40000000,2
36970759,4,31,51583335.03,6,54442033.5,6,125162558,234,14000,12000,581,27614,55000000,8
19571399,2,4,20805733,6,54442033.5,1,8600000,79,14000,12000,1000,28094,25000000,8
223197363.9,7,12,41981311,6,54442033.5,1,82161969,0,18000,12000,964,31523,150000000,2
45891239.67,3,12,49418512.67,2,47578507,1,92115211,541,821,577,551,4043,45000000,2
1310270,1,1,3041803,2,47578507,2,18173420,25,902,576,553,2735,10000000,8
37825000,4,1,48006503,1,48006503,1,48006503,3,18000,82,35,18178,37000000,4
43414681.33,3,5,25539650.2,1,5128124,1,5128124,79,12000,506,50,12574,25000000,8
92401,1,1,115504,1,115504,1,115504,8,611,397,315,1739,14000000,9
22725551.67,3,26,58934241.92,1,6498000,1,6498000,50,218,133,72,554,18026148,8
72118004,5,1,7097125,1,7097125,1,7097125,0,26000,326,301,28129,70000000,8
58010068.5,4,1,9172810,1,9172810,1,9172810,187,11000,883,254,12178,16000000,8
47272993.4,5,13,47377885.46,1,54200000,1,54200000,644,1000,809,326,2566,27000000,4
318622,1,1,1114943,1,1114943,1,1114943,7,328,27,17,407,500000,8
3346321,4,7,25096096.57,3,10170909.67,2,9764753.5,20,11000,904,783,15713,20000000,7
27578931,2,29,61087552.07,3,10170909.67,4,51979928.5,44,12000,904,729,16004,18000000,7
568695,1,2,36373132,3,10170909.67,1,1243961,15,938,904,567,3770,850000,8
89701574.5,6,20,63772051.65,1,101217900,1,101217900,59,770,263,145,1195,70000000,1
216080773.3,12,4,149484939.5,2,186725542,1,356784000,14000,967,610,191,2129,63000000,1
14576182.67,3,3,30073063.33,2,186725542,1,16667084,31,651,610,536,3119,11000000,7
21886070,6,1,8114507,1,8114507,1,8114507,0,140,63,48,328,3000000,8
48813342.33,3,15,55181255.6,1,12181484,1,12181484,272,1000,87,62,1189,40000000,7
97464707.6,5,1,173005002,1,173005002,1,173005002,226,12000,625,341,13679,100000000,1
91931980.4,5,24,112693921.4,2,42038545,1,48265581,21000,495,294,283,1397,50000000,4
31598308,1,36,91783206.47,2,42038545,1,35811509,96,509,294,35,888,5500000,5
3382220.5,2,1,7830611,1,7830611,1,7830611,23,7,6,2,15,700000,8
2580,1,12,36415043.33,1,3330,1,3330,7,128,22,17,214,2100000,9
15799061.5,2,1,25240988,1,25240988,1,25240988,4,28,9,8,52,12000000,6
74148718.14,7,3,20681296.33,1,40990055,1,40990055,13,463,400,308,1958,1800000,4
9402410,1,1,14564027,1,14564027,1,14564027,385,266,209,100,673,1000000,7
141592451.8,8,2,57293997.5,1,107917283,1,107917283,110,189,109,21,330,15000,1
22525921,1,24,62428649.96,3,21552111,4,84631704.75,29,1000,794,522,4218,20000000,8
52121397.33,3,14,60449168.57,3,21552111,2,56033979.5,10,12000,795,348,14146,56000000,4
30306281,1,3,45809486.33,3,21552111,1,12232937,212,969,794,347,2799,22000000,7
1738571,2,1,5749134,1,5749134,5,75108519,78,1000,969,745,3979,20000000,8
57857445,3,6,48248804.67,1,617840,1,617840,448,614,451,334,1829,70000000,9
42877165,1,25,140782475.4,2,42638165,2,42638165,687,10000,787,389,12183,16000000,4
69135334,4,4,26409863,2,42638165,2,42638165,687,10000,787,389,12183,16000000,4
21652967.29,7,42,42849117.6,1,56816662,1,56816662,11000,617,204,183,1289,17000000,4
25488293.25,4,3,30552881,1,32101000,3,50419517,32,535,211,120,1109,10000000,5
71263290.67,3,1,52474616,3,88145346.67,1,52474616,0,903,592,17,1579,70000000,4
79855941.83,6,26,94986586.58,3,88145346.67,4,101458424,2000,1000,592,535,2827,58000000,1
